OffspringNUM;Sexo;Morph;nacimiento;year;Nido;Ring;location_1;location_9sites;location_3sites;location_4sites;age;breeding;success;SEX01;MORPH01;prod;prodBIRTHyr;wind;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist;avgAGE;deltaAGE;Metal
2;M;B;2010;2020;EN-13-20;Bl6U;EN;EN;norte;norte;10;SI;1;1;0;1.83;2.21;-1.075666206;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;0.857142857;EF_UidFttGn
2;M;B;2010;2022;EN-19-22;B6U;EN;EN;norte;norte;12;SI;1;1;0;1.17;2.21;0.251126434;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;2.857142857;EF_UidFttGn
3;M;B;2010;2023;EN-16-23;B6U;EN;EN;norte;norte;13;SI;1;1;0;NA;2.21;NA;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;3.857142857;EF_UidFttGn
2;H;B;2010;2013;EN-2-13;B7V;EN;EN;norte;norte;3;SI;1;0;0;1.57;2.21;0.290908371;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;-4.571428571;EF_op2rQCCH
0;H;N;2010;2014;EN-2-14;Bl7V;EN;EN;norte;norte;4;NO;0;0;1;0;2.21;2.7273725;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;-3.571428571;EF_op2rQCCH
2;H;B;2010;2015;EN-5-15;B7V;EN;EN;norte;norte;5;SI;1;0;0;1.32;2.21;-0.387763242;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;-2.571428571;EF_op2rQCCH
3;H;B;2010;2017;EN-4-17;B7V;EN;EN;norte;norte;7;SI;1;0;0;2.12;2.21;-3.232740274;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;-0.571428571;EF_op2rQCCH
2;H;B;2010;2019;EN-8-19;B7V;EN;EN;norte;norte;9;SI;1;0;0;1.98;2.21;-1.910949707;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;1.428571429;EF_op2rQCCH
3;H;B;2010;2022;EN-20-22;B7V;EN;EN;norte;norte;12;SI;1;0;0;1.17;2.21;0.251126434;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;4.428571429;EF_op2rQCCH
1;H;B;2010;2023;ECI-5-23;B7V;ECI;ECI;cald;norte;13;SI;1;0;0;NA;2.21;NA;-1.40250537;211;131;102;NA;445;NA;32.91;23;2314.95;7.571428571;5.428571429;EF_op2rQCCH
2;H;B;2010;2015;EL-9-15;B97;EL;EL;rapalobos;norte;5;SI;1;0;0;1.32;2.21;-0.387763242;-1.40250537;236;159.5;122.5;NA;460;NA;36.96;17;838.82;5.5;-0.5;EF_W2JSxZHJ
1;H;B;2010;2016;EL-9-16;B97;EL;EL;rapalobos;norte;6;SI;1;0;0;2.11;2.21;-2.954813904;-1.40250537;236;159.5;122.5;NA;460;NA;36.96;17;838.82;5.5;0.5;EF_W2JSxZHJ
0;H;B;2010;2014;ER-inac;BAJ;ER;ER;rapalobos;norte;4;NO;0;0;0;0;2.21;2.7273725;-1.40250537;208.5;122;93;NA;460;NA;32.5;19;2616.25;4.5;-0.5;EF_R2eek9KH
2;H;B;2010;2015;ER-13-15;BAJ;ER;ER;rapalobos;norte;5;SI;1;0;0;1.32;2.21;-0.387763242;-1.40250537;208.5;122;93;NA;460;NA;32.5;19;2616.25;4.5;0.5;EF_R2eek9KH
2;M;B;2010;2015;ER-5-15;BAL;ER;ER;rapalobos;norte;5;SI;1;1;0;1.32;2.21;-0.387763242;-1.40250537;201;122;96;NA;430;NA;31.28;23;77.32;5;0;EF_umjmhNup
1;M;B;2010;2013;ER-1-13;BCU;ER;ER;rapalobos;norte;3;SI;1;1;0;1.57;2.21;0.290908371;-1.40250537;197;119;91;35.7;415;NA;36.33;15;302.42;6.6;-3.6;EF_TJDTYRCT
2;M;B;2010;2015;ER-3-15;BCU;ER;ER;rapalobos;norte;5;SI;1;1;0;1.32;2.21;-0.387763242;-1.40250537;197;119;91;35.7;415;NA;36.33;15;302.42;6.6;-1.6;EF_TJDTYRCT
3;M;B;2010;2016;ER-3-16;BlCU;ER;ER;rapalobos;norte;6;SI;1;1;0;2.11;2.21;-2.954813904;-1.40250537;197;119;91;35.7;415;NA;36.33;15;302.42;6.6;-0.6;EF_TJDTYRCT
3;M;B;2010;2019;ER-4-19;BCU;ER;ER;rapalobos;norte;9;SI;1;1;0;1.98;2.21;-1.910949707;-1.40250537;197;119;91;35.7;415;NA;36.33;15;302.42;6.6;2.4;EF_TJDTYRCT
3;M;B;2010;2020;ER-17-20;BlCU;ER;ER;rapalobos;norte;10;SI;1;1;0;1.83;2.21;-1.075666206;-1.40250537;197;119;91;35.7;415;NA;36.33;15;302.42;6.6;3.4;EF_TJDTYRCT
3;H;B;2010;2019;EL-13-19;BCV;EL;EL;rapalobos;norte;9;SI;1;0;0;1.98;2.21;-1.910949707;-1.40250537;170;94;65;36;400;NA;NA;15;1065.44;10.33333333;-1.333333333;EF_NKRzY2jz
3;H;B;2010;2020;EL-9-20;BlCV;EL;EL;rapalobos;norte;10;SI;1;0;0;1.83;2.21;-1.075666206;-1.40250537;170;94;65;36;400;NA;NA;15;1065.44;10.33333333;-0.333333333;EF_NKRzY2jz
0;H;B;2010;2022;EL-9-22;BCV;EL;EL;rapalobos;norte;12;NO;0;0;0;1.17;2.21;0.251126434;-1.40250537;170;94;65;36;400;NA;NA;15;1065.44;10.33333333;1.666666667;EF_NKRzY2jz
1;H;B;2010;2015;EFS-7-15;BJ1;EFS;EFS;rapalobos;norte;5;SI;1;0;0;1.32;2.21;-0.387763242;-1.40250537;215;137;98.5;NA;452;NA;33.56;25;650.66;8.333333333;-3.333333333;EF_vYecinym
2;H;B;2010;2017;EFS-3-17;BJ1;EFS;EFS;cald;norte;7;SI;1;0;0;2.12;2.21;-3.232740274;-1.40250537;215;137;98.5;NA;452;NA;33.56;25;650.66;8.333333333;-1.333333333;EF_vYecinym
3;H;B;2010;2023;EN-15-23;BJ1;EN;EN;norte;norte;13;SI;1;0;0;NA;2.21;NA;-1.40250537;215;137;98.5;NA;452;NA;33.56;25;650.66;8.333333333;4.666666667;EF_vYecinym
0;M;B;2010;2013;ER-2-13;BLV;ER;ER;rapalobos;norte;3;NO;0;1;0;1.57;2.21;0.290908371;-1.40250537;170;92.5;68;36.22;427;7;26.25;30;1086.83;3;0;EF_VAQtsYLK
